molecule_chembl_id,mol,IC50,Class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4109860,CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(Cl)c1,290.0,active,443.8130000000001,3.115500000000001,2.0,7.0,
CHEMBL4110497,COCCc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,150.0,active,439.3980000000002,1.2295,3.0,9.0,
CHEMBL4110655,C[C@]1(c2nc(NC(=O)c3nccnc3N)ccc2F)N=C(N)OCC1(F)F,540.0,active,381.31800000000015,1.0406,3.0,8.0,
CHEMBL4113786,C[C@]1(c2nc(NC(=O)c3ncc(C#CCO)cc3Cl)ccc2F)N=C(N)OCC1(F)F,60.0,active,453.80800000000016,2.0606,3.0,7.0,
CHEMBL4112589,C[C@]1(c2nc(NC(=O)c3ncc(C(F)F)cc3N)ccc2F)N=C(N)OCC1(F)F,140.0,active,430.3370000000001,2.5832000000000006,3.0,7.0,
CHEMBL4108644,CC(F)(F)c1nc(N)c(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)nc1Cl,10000.0,inactive,479.79700000000025,2.8057,3.0,8.0,
CHEMBL4111103,CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,64.0,active,445.3520000000002,2.1523,3.0,8.0,
CHEMBL3949520,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21C=C(N)N(C)O1,4.5,active,364.48900000000015,3.4520000000000017,1.0,4.0,
CHEMBL3978600,COC1CCC2(CC1)Cc1ccc(-c3cccc(C#N)c3)cc1C21C=C(N)N(C)C1=O,4.0,active,413.5210000000002,3.8666800000000023,1.0,4.0,
CHEMBL3974349,COC1CCC2(CC1)Cc1ccc(-c3cccc(OC(F)(F)F)c3)cc1C21C=C(N)N(C)C1=O,7.8,active,472.5070000000002,4.893600000000005,1.0,4.0,
CHEMBL3980807,COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21C=C(N)N(C)C1=O,11.1,active,440.94600000000025,4.787500000000005,1.0,3.0,
CHEMBL3955354,COc1cc(Cl)cc(-c2ccc3c(c2)C2(C=C(N)N(C)C2=O)C2(CCC(OC)CC2)C3)c1,11.5,active,452.98200000000037,4.6570000000000045,1.0,4.0,
CHEMBL3956487,CN1OC2(C=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCc2ccccc2C1,194.7,active,419.5280000000003,4.829080000000004,1.0,4.0,
CHEMBL3918596,CN1OC2(C=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCCc2ccccc2C1,292.9,active,433.55500000000035,5.219180000000004,1.0,4.0,
